,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,3986.0,3986.0,4048.0,3984.0,4003.0,3975.0,4020.0,4023.0,3997.0,3978.0,40000.0,40000.0
Valid:Num,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,10000.0,10000.0
Train:Ave,70.928248871,80.9106874059,54.3231225296,48.0296184739,60.2573070197,60.6716981132,77.5621890547,74.1063882675,82.2516887666,79.4142785319,68.8365,68.8455227034
Train:Max,70.928248871,80.9106874059,54.3231225296,48.0296184739,60.2573070197,60.6716981132,77.5621890547,74.1063882675,82.2516887666,79.4142785319,68.8365,68.8455227034
Train:Min,70.928248871,80.9106874059,54.3231225296,48.0296184739,60.2573070197,60.6716981132,77.5621890547,74.1063882675,82.2516887666,79.4142785319,68.8365,68.8455227034
Valid:Ave,66.5384615385,74.9408284024,50.2836134454,39.6751968504,51.2838515547,54.4292682927,70.387755102,67.6560900716,76.8494516451,72.6712328767,62.499,62.4715749779
Valid:Max,66.5384615385,74.9408284024,50.2836134454,39.6751968504,51.2838515547,54.4292682927,70.387755102,67.6560900716,76.8494516451,72.6712328767,62.499,62.4715749779
Valid:Min,66.5384615385,74.9408284024,50.2836134454,39.6751968504,51.2838515547,54.4292682927,70.387755102,67.6560900716,76.8494516451,72.6712328767,62.499,62.4715749779
Train:0,0.301053687908,0.0,17.2677865613,3.86546184739,26.2053459905,0.427672955975,2.13930348259,7.20855083271,1.07580685514,44.7209653092,10.3225,10.3211947523
Train:500,38.0080280983,60.7626693427,24.5553359684,25.9789156627,49.9125655758,39.4213836478,46.5671641791,48.5707183694,71.4535901926,42.9612870789,44.805,44.8191658116
Train:1000,57.8023080783,77.5715002509,30.1877470356,34.7640562249,38.7709218086,22.6163522013,74.0547263682,51.7524235645,68.8766574931,45.6008044243,50.2,50.199749745
Train:1500,57.8524836929,63.4470647265,41.8231225296,48.8453815261,43.0676992256,23.0188679245,73.3333333333,63.6838180462,55.0662997248,67.094017094,53.7325,53.7232087824
Train:2000,64.9774209734,73.1058705469,42.0701581028,40.562248996,46.615038721,33.4591194969,72.5373134328,61.3969674372,70.5028771579,63.1473102061,56.8375,56.8374325071
Train:2500,62.7947817361,77.6718514802,47.0355731225,41.2901606426,52.7104671496,38.2893081761,63.2338308458,68.4315187671,80.5354015512,53.5193564605,58.5575,58.5512249932
