,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,50000.0,50000.0
Valid:Num,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,10000.0,10000.0
Train:Ave,99.548,99.376,98.872,98.852,99.046,98.842,99.46,98.934,98.652,98.336,98.9918,98.9918
Train:Max,99.548,99.376,98.872,98.852,99.046,98.842,99.46,98.934,98.652,98.336,98.9918,98.9918
Train:Min,99.548,99.376,98.872,98.852,99.046,98.842,99.46,98.934,98.652,98.336,98.9918,98.9918
Valid:Ave,99.5612244898,99.6387665198,98.9244186047,98.9504950495,99.2057026477,98.3856502242,98.643006263,97.9571984436,98.1006160164,97.0168483647,98.651,98.6383926623
Valid:Max,99.5612244898,99.6387665198,98.9244186047,98.9504950495,99.2057026477,98.3856502242,98.643006263,97.9571984436,98.1006160164,97.0168483647,98.651,98.6383926623
Valid:Min,99.5612244898,99.6387665198,98.9244186047,98.9504950495,99.2057026477,98.3856502242,98.643006263,97.9571984436,98.1006160164,97.0168483647,98.651,98.6383926623
Train:0,0.0,0.0,2.66,3.28,29.62,0.04,38.1,0.0,9.8,13.34,9.684,9.684
Train:500,98.62,97.28,91.78,96.4,97.42,93.9,94.74,94.64,88.72,84.8,93.83,93.83
Train:1000,98.78,97.44,96.78,95.92,96.98,96.34,98.46,96.24,95.6,94.78,96.732,96.732
Train:1500,99.14,97.28,97.5,96.6,96.76,97.78,98.98,97.3,95.3,97.08,97.372,97.372
Train:2000,99.06,98.18,98.02,97.02,97.58,98.46,98.3,98.16,95.78,97.52,97.808,97.808
Train:2500,98.86,98.2,98.84,97.36,97.74,98.22,99.28,98.1,96.76,97.74,98.11,98.11
Train:3000,98.9,98.8,98.02,97.96,97.46,98.58,99.36,97.8,97.92,97.94,98.274,98.274
Train:3500,99.02,98.94,98.52,97.7,97.7,97.96,99.32,98.6,98.1,98.44,98.43,98.43
Train:4000,99.38,99.08,98.18,97.72,98.68,98.98,99.26,98.96,96.54,97.72,98.45,98.45
Train:4500,99.08,99.32,98.68,98.26,98.12,99.16,98.72,98.98,97.42,97.84,98.558,98.558
Train:5000,99.28,98.54,98.56,98.46,98.92,97.78,99.16,98.56,99.1,97.88,98.624,98.624
Train:5500,99.48,99.48,98.7,98.4,99.1,98.7,99.38,97.96,98.44,97.72,98.736,98.736
Train:6000,99.62,99.26,98.8,98.7,98.9,98.8,99.46,99.34,98.56,97.42,98.886,98.886
Train:6500,99.36,99.32,99.0,98.64,99.2,99.02,99.48,98.84,98.52,98.38,98.976,98.976
Train:7000,99.3,99.32,99.1,99.04,99.0,99.02,99.58,98.7,98.04,98.74,98.984,98.984
Train:7500,99.68,99.44,98.78,99.06,98.88,98.88,99.22,99.0,98.82,98.68,99.044,99.044
Train:8000,99.54,99.54,99.0,99.0,98.94,98.76,99.38,98.8,98.8,98.86,99.062,99.062
Train:8500,99.3,98.82,99.06,98.74,99.22,98.84,99.52,98.88,99.32,98.46,99.016,99.016
Train:9000,99.72,99.48,98.88,98.9,99.06,98.78,99.68,99.38,98.02,98.04,98.994,98.994
Train:9500,99.64,99.38,98.32,98.72,98.88,98.64,99.52,99.28,99.26,98.76,99.04,99.04
Train:10000,99.84,99.72,99.08,99.32,99.28,98.98,99.38,99.16,98.74,98.3,99.18,99.18
valid:0,0.0,0.0,2.22868217054,2.9702970297,32.9938900204,0.0,41.3361169102,0.0,12.8336755647,14.3706640238,10.43,10.6733325719
valid:500,98.8775510204,98.3259911894,91.3759689922,97.7227722772,98.3706720978,93.0493273543,93.6325678497,93.1906614786,89.9383983573,86.521308226,94.15,94.1005218843
valid:1000,98.9795918367,98.5022026432,96.4147286822,97.3267326733,97.1486761711,96.6367713004,98.121085595,94.0661478599,95.7905544148,94.5490584737,96.76,96.753554965
valid:1500,99.387755102,98.6784140969,97.2868217054,97.8217821782,97.4541751527,98.3183856502,98.5386221294,95.8171206226,94.8665297741,96.828543112,97.5,97.4998149524
valid:2000,99.387755102,98.8546255507,97.9651162791,98.1188118812,98.2688391039,98.4304932735,97.8079331942,96.6926070039,96.0985626283,96.6303270565,97.83,97.8255071073
valid:2500,99.2857142857,98.9427312775,99.2248062016,98.0198019802,97.9633401222,98.0941704036,98.8517745303,96.4980544747,96.5092402464,96.7294350842,98.02,98.0119068606
valid:3000,99.1836734694,99.1189427313,98.4496124031,98.4158415842,97.9633401222,98.5426008969,98.9561586639,96.6926070039,98.0492813142,96.6303270565,98.2,98.2002385245
valid:3500,99.4897959184,99.4713656388,98.8372093023,98.3168316832,98.3706720978,97.9820627803,98.8517745303,97.1789883268,97.9466119097,97.1258671952,98.37,98.3571179383
valid:4000,99.4897959184,99.6475770925,98.3527131783,98.2178217822,99.1853360489,98.4304932735,98.8517745303,98.0544747082,96.81724846,96.2338949455,98.34,98.3281129938
