,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,50000.0,50000.0
Valid:Num,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,10000.0,10000.0
Train:Ave,99.704,99.572,99.22,98.844,99.132,99.128,99.63,99.294,98.942,98.722,99.2188,99.2188
Train:Max,99.704,99.572,99.22,98.844,99.132,99.128,99.63,99.294,98.942,98.722,99.2188,99.2188
Train:Min,99.704,99.572,99.22,98.844,99.132,99.128,99.63,99.294,98.942,98.722,99.2188,99.2188
Valid:Ave,99.6632653061,99.5947136564,99.2151162791,98.9603960396,99.0733197556,98.7219730942,98.9352818372,98.813229572,98.7474332649,97.6808721506,98.95,98.9405600956
Valid:Max,99.6632653061,99.5947136564,99.2151162791,98.9603960396,99.0733197556,98.7219730942,98.9352818372,98.813229572,98.7474332649,97.6808721506,98.95,98.9405600956
Valid:Min,99.6632653061,99.5947136564,99.2151162791,98.9603960396,99.0733197556,98.7219730942,98.9352818372,98.813229572,98.7474332649,97.6808721506,98.95,98.9405600956
Train:0,0.04,0.06,10.22,0.0,0.0,89.72,0.0,0.0,0.0,0.0,10.004,10.004
Train:500,97.32,96.72,93.04,94.66,95.7,96.04,97.72,95.34,93.88,94.1,95.452,95.452
Train:1000,98.88,98.4,96.48,97.04,96.56,98.04,97.58,97.08,94.42,96.44,97.092,97.092
Train:1500,98.38,98.84,96.14,96.52,98.7,96.64,99.28,98.34,97.06,96.58,97.648,97.648
Train:2000,99.14,98.58,97.76,96.54,99.2,98.36,99.12,98.56,97.58,97.4,98.224,98.224
Train:2500,99.24,99.5,97.94,97.3,98.9,98.74,99.48,98.64,96.9,97.06,98.37,98.37
Train:3000,99.48,99.44,98.82,98.18,98.92,98.9,98.92,98.7,97.44,97.84,98.664,98.664
Train:3500,99.4,99.0,98.82,98.78,99.26,97.38,99.52,98.42,98.82,98.24,98.764,98.764
Train:4000,99.66,99.24,98.84,98.96,98.86,98.88,99.36,99.06,98.16,97.56,98.858,98.858
Train:4500,99.44,99.4,99.16,98.78,99.08,99.46,98.98,98.7,97.64,98.42,98.906,98.906
Train:5000,99.4,99.46,99.16,99.0,99.12,99.2,99.12,99.02,99.02,98.28,99.078,99.078
Train:5500,99.72,99.18,99.26,98.66,98.7,99.1,99.62,99.3,98.58,98.76,99.088,99.088
Train:6000,99.52,99.76,98.96,97.98,99.12,99.28,99.66,99.22,98.18,97.78,98.946,98.946
Train:6500,99.62,99.14,99.26,99.34,98.74,98.94,99.46,98.94,99.04,98.48,99.096,99.096
Train:7000,99.64,99.7,99.08,98.68,99.18,99.12,99.64,99.38,98.74,98.24,99.14,99.14
Train:7500,99.82,99.62,99.14,98.44,99.44,99.0,99.54,99.16,99.06,98.8,99.202,99.202
Train:8000,99.68,99.6,99.62,99.1,99.1,99.02,99.66,99.02,99.22,98.88,99.29,99.29
Train:8500,99.84,99.68,99.2,99.3,99.34,98.84,99.8,99.34,99.04,99.18,99.356,99.356
Train:9000,99.8,99.82,99.18,99.18,99.48,99.28,99.4,99.42,99.12,98.82,99.35,99.35
Train:9500,99.78,99.66,99.14,98.86,99.4,99.38,99.84,99.48,99.22,98.9,99.366,99.366
Train:10000,99.62,99.56,99.36,98.9,98.82,99.32,99.68,99.68,99.22,99.38,99.354,99.354
valid:0,0.0,0.0,10.3682170543,0.0,0.0,91.7040358744,0.0,0.0,0.0,0.0,9.25,10.2072252929
valid:500,98.3673469388,97.6211453744,93.2170542636,96.0396039604,95.9266802444,97.0852017937,97.0772442589,93.6770428016,95.2772073922,95.242814668,95.94,95.9531341696
valid:1000,98.9795918367,98.7665198238,96.6085271318,97.6237623762,96.6395112016,98.2062780269,96.8684759916,96.0116731518,95.4825462012,96.5312190287,97.18,97.171810477
valid:1500,98.6734693878,99.4713656388,95.6395348837,96.9306930693,98.9816700611,97.6457399103,98.5386221294,97.859922179,97.3305954825,97.1258671952,97.83,97.8197479937
valid:2000,99.2857142857,99.1189427313,98.2558139535,97.4257425743,99.2871690428,98.4304932735,98.643006263,98.1517509728,97.7412731006,97.1258671952,98.35,98.3465773393
valid:2500,99.387755102,99.7356828194,98.1589147287,97.9207920792,99.083503055,98.9910313901,98.9561586639,97.859922179,97.022587269,96.2338949455,98.34,98.3350242232
valid:3000,99.5918367347,99.6475770925,98.7403100775,98.6138613861,98.7780040733,98.4304932735,98.3298538622,98.4435797665,97.7412731006,97.3240832507,98.58,98.5640872618
valid:3500,99.4897959184,99.295154185,99.2248062016,99.2079207921,99.2871690428,97.533632287,98.8517745303,97.373540856,98.5626283368,97.9187314172,98.69,98.6745153567
valid:4000,99.693877551,99.3832599119,99.1279069767,99.3069306931,99.1853360489,98.2062780269,98.4342379958,99.1245136187,98.2546201232,96.03567889,98.69,98.6752639836
valid:4500,99.4897959184,99.4713656388,99.3217054264,99.1089108911,99.3890020367,99.1031390135,98.4342379958,97.9571984436,97.8439425051,97.7205153617,98.79,98.7839813231
