,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,50000.0,50000.0
Valid:Num,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,10000.0,10000.0
Train:Ave,99.786,99.196,99.068,99.06,98.718,99.038,99.4,99.102,98.804,98.824,99.0996,99.0996
Train:Max,99.786,99.196,99.068,99.06,98.718,99.038,99.4,99.102,98.804,98.824,99.0996,99.0996
Train:Min,99.786,99.196,99.068,99.06,98.718,99.038,99.4,99.102,98.804,98.824,99.0996,99.0996
Valid:Ave,99.5918367347,99.5330396476,99.273255814,98.8910891089,98.7983706721,98.8452914798,98.4342379958,98.3754863813,98.839835729,98.414271556,98.909,98.8996715119
Valid:Max,99.5918367347,99.5330396476,99.273255814,98.8910891089,98.7983706721,98.8452914798,98.4342379958,98.3754863813,98.839835729,98.414271556,98.909,98.8996715119
Valid:Min,99.5918367347,99.5330396476,99.273255814,98.8910891089,98.7983706721,98.8452914798,98.4342379958,98.3754863813,98.839835729,98.414271556,98.909,98.8996715119
Train:0,0.48,98.74,0.02,0.0,14.92,0.0,0.0,0.4,0.0,0.0,11.456,11.456
Train:500,84.84,87.12,73.16,65.08,57.3,64.08,82.1,75.22,70.66,45.18,70.474,70.474
Train:1000,98.6,99.02,92.7,93.92,93.58,94.2,96.3,89.58,88.76,93.34,94.0,94.0
Train:1500,99.18,98.14,96.2,94.68,95.34,98.24,98.68,97.02,95.84,96.12,96.944,96.944
Train:2000,99.48,98.16,97.52,96.72,98.84,97.78,98.5,96.22,98.08,95.38,97.668,97.668
Train:2500,99.62,97.78,98.52,98.08,97.42,98.7,98.64,98.3,96.92,98.36,98.234,98.234
Train:3000,99.38,98.44,98.02,98.56,97.18,98.82,99.18,98.48,98.64,97.78,98.448,98.448
Train:3500,99.74,98.8,98.08,98.78,98.68,98.1,99.22,98.58,96.92,97.9,98.48,98.48
Train:4000,98.66,98.44,98.94,98.38,98.1,98.86,99.74,98.7,96.78,98.86,98.546,98.546
Train:4500,99.54,99.34,98.18,98.58,99.44,98.86,98.42,98.82,97.98,95.88,98.504,98.504
Train:5000,99.8,99.48,98.56,97.34,99.2,98.96,99.66,98.5,98.08,98.08,98.766,98.766
Train:5500,99.72,98.62,98.6,99.04,98.1,98.42,99.66,99.52,99.06,98.76,98.95,98.95
Train:6000,99.9,99.42,98.92,98.94,98.66,98.66,99.34,99.28,99.3,97.42,98.984,98.984
Train:6500,99.72,99.82,98.64,98.98,99.38,97.88,99.2,98.2,97.98,98.68,98.848,98.848
Train:7000,99.92,99.18,99.04,99.1,99.24,99.26,99.44,99.22,98.18,98.78,99.136,99.136
Train:7500,99.86,99.34,99.16,98.9,98.44,99.32,99.22,99.02,99.2,99.18,99.164,99.164
Train:8000,99.6,99.36,99.14,98.66,99.16,99.58,99.36,99.3,98.74,98.72,99.162,99.162
Train:8500,99.92,98.86,99.06,99.42,99.02,99.56,99.0,98.9,98.58,98.94,99.126,99.126
Train:9000,99.8,99.26,99.52,99.38,98.86,99.4,99.48,99.3,99.06,99.18,99.324,99.324
Train:9500,99.68,98.38,99.26,99.24,97.02,99.36,99.5,99.18,98.86,99.6,99.008,99.008
Train:10000,99.74,99.72,99.34,98.94,99.3,98.94,99.8,99.1,99.08,98.98,99.294,99.294
valid:0,0.102040816327,98.7665198238,0.0,0.0,14.5621181263,0.0,0.0,0.68093385214,0.0,0.0,12.72,11.4111612619
valid:500,85.2040816327,88.3700440529,74.4186046512,70.396039604,58.1466395112,65.0224215247,79.5407098121,74.8054474708,74.5379876797,51.3379583746,72.43,72.1779934314
valid:1000,98.3673469388,99.4713656388,93.6046511628,95.7425742574,93.3808553971,94.6188340807,94.9895615866,88.326848249,90.7597535934,94.1526263627,94.39,94.3414417267
valid:1500,99.0816326531,99.3832599119,97.6744186047,96.3366336634,96.0285132383,98.5426008969,97.5991649269,95.719844358,97.022587269,96.9276511397,97.44,97.4316306662
valid:2000,99.5918367347,99.3832599119,98.6434108527,97.7227722772,99.5926680244,98.3183856502,98.121085595,95.3307392996,98.7679671458,96.03567889,98.15,98.1507804382
valid:2500,99.1836734694,98.9427312775,99.0310077519,98.3168316832,97.8615071283,98.7668161435,97.7035490605,97.1789883268,96.81724846,98.3151635282,98.22,98.2117516829
valid:3000,99.1836734694,99.3832599119,98.5465116279,99.2079207921,97.5560081466,98.6547085202,98.4342379958,97.5680933852,98.4599589322,97.8196233895,98.49,98.4813996171
valid:3500,99.2857142857,99.295154185,98.7403100775,98.9108910891,99.2871690428,98.4304932735,97.8079331942,98.3463035019,97.3305954825,97.8196233895,98.54,98.5254187522
valid:4000,98.8775510204,99.2070484581,99.4186046512,98.6138613861,98.4725050916,99.2152466368,98.7473903967,97.4708171206,97.7412731006,98.6124876115,98.64,98.6376785474
valid:4500,98.9795918367,99.7356828194,98.6434108527,98.5148514851,99.5926680244,98.8789237668,96.3465553236,98.4435797665,98.3572895277,95.1437066402,98.28,98.2636260043
