,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,50000.0,50000.0
Valid:Num,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,10000.0,10000.0
Train:Ave,99.626,99.554,98.826,98.454,98.996,99.082,99.492,98.698,98.288,98.234,98.925,98.925
Train:Max,99.626,99.554,98.826,98.454,98.996,99.082,99.492,98.698,98.288,98.234,98.925,98.925
Train:Min,99.626,99.554,98.826,98.454,98.996,99.082,99.492,98.698,98.288,98.234,98.925,98.925
Valid:Ave,99.3979591837,99.6211453744,98.9728682171,98.7623762376,98.5947046843,98.8004484305,98.8413361169,98.219844358,98.6036960986,98.1764122894,98.808,98.799079099
Valid:Max,99.3979591837,99.6211453744,98.9728682171,98.7623762376,98.5947046843,98.8004484305,98.8413361169,98.219844358,98.6036960986,98.1764122894,98.808,98.799079099
Valid:Min,99.3979591837,99.6211453744,98.9728682171,98.7623762376,98.5947046843,98.8004484305,98.8413361169,98.219844358,98.6036960986,98.1764122894,98.808,98.799079099
Train:0,0.0,0.0,51.22,10.42,62.9,0.0,0.0,0.0,0.16,0.0,12.47,12.47
Train:500,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Train:1000,65.62,98.62,25.52,0.0,23.94,0.0,30.94,32.52,3.92,4.86,28.594,28.594
Train:1500,96.54,93.34,87.44,92.94,94.58,94.02,95.04,87.9,90.92,83.12,91.584,91.584
Train:2000,98.6,98.58,95.14,96.22,98.64,96.2,99.12,97.2,94.68,93.74,96.812,96.812
Train:2500,99.22,97.58,98.28,97.38,97.92,94.56,98.88,90.84,98.28,96.82,96.976,96.976
Train:3000,99.68,98.24,98.66,98.44,99.06,98.26,98.54,97.5,97.42,97.18,98.298,98.298
Train:3500,99.3,99.06,98.26,98.74,98.76,94.72,99.1,98.1,97.0,98.66,98.17,98.17
Train:4000,99.7,99.52,97.88,97.66,98.34,96.68,99.5,96.9,98.72,98.88,98.378,98.378
Train:4500,99.16,99.54,97.14,98.96,98.52,96.52,99.7,99.18,97.88,98.34,98.494,98.494
Train:5000,99.42,99.52,98.4,98.8,99.28,97.74,99.6,98.94,98.56,98.4,98.866,98.866
Train:5500,99.58,99.94,97.46,97.06,99.18,99.26,99.68,98.46,97.56,96.76,98.494,98.494
Train:6000,99.48,99.7,98.1,98.06,98.4,98.14,98.34,98.62,97.22,97.74,98.38,98.38
Train:6500,99.44,99.34,99.32,98.74,98.84,99.34,99.5,98.04,98.48,98.88,98.992,98.992
Train:7000,99.74,99.96,99.0,98.06,99.3,97.74,99.78,97.38,98.04,96.24,98.524,98.524
Train:7500,99.54,98.74,98.98,98.78,99.44,99.22,99.72,99.22,98.34,97.62,98.96,98.96
Train:8000,99.9,99.46,99.34,97.18,98.86,99.54,99.28,98.52,98.06,98.9,98.904,98.904
Train:8500,99.58,99.72,99.02,99.2,99.38,99.64,99.34,99.34,98.8,98.72,99.274,99.274
Train:9000,99.58,99.48,99.48,98.78,99.1,99.36,99.78,99.0,98.22,99.16,99.194,99.194
Train:9500,99.72,99.72,98.8,99.06,98.8,99.28,99.62,99.0,98.92,98.8,99.172,99.172
Train:10000,99.7,99.48,98.76,99.62,98.66,99.3,99.88,99.4,99.24,99.52,99.356,99.356
valid:0,0.0,0.0,53.2945736434,9.90099009901,64.4602851324,0.0,0.0,0.0,0.0,0.0,12.83,12.7655848875
valid:500,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.82,10.0
valid:1000,65.4081632653,99.0308370044,24.7093023256,0.0,28.4114052953,0.0,33.1941544885,33.9494163424,3.38809034908,4.36075322101,30.43,29.2452122292
valid:1500,97.8571428571,94.0969162996,90.503875969,95.2475247525,94.399185336,93.4977578475,92.5887265136,88.0350194553,92.4024640657,84.8364717542,92.32,92.346508485
valid:2000,98.5714285714,98.8546255507,96.1240310078,98.1188118812,98.8798370672,95.2914798206,97.8079331942,97.0817120623,95.3798767967,93.9544103072,97.04,97.0064146259
valid:2500,99.4897959184,98.1497797357,99.2248062016,98.9108910891,98.2688391039,94.730941704,97.5991649269,90.0778210117,99.0759753593,97.3240832507,97.3,97.2852098301
valid:3000,99.693877551,98.9427312775,99.4186046512,98.9108910891,99.1853360489,98.4304932735,97.3903966597,97.0817120623,97.9466119097,97.4231912785,98.45,98.4423845801
valid:3500,98.9795918367,99.3832599119,98.8372093023,99.0099009901,98.9816700611,94.6188340807,97.8079331942,97.859922179,98.0492813142,97.9187314172,98.2,98.1446334287
valid:4000,99.693877551,99.3832599119,98.8372093023,98.3168316832,97.9633401222,96.0762331839,98.643006263,95.8171206226,99.0759753593,98.810703667,98.29,98.2617557666
valid:4500,98.6734693878,99.8237885463,98.2558139535,99.801980198,98.2688391039,96.8609865471,99.0605427975,98.9299610895,98.3572895277,98.5133795837,98.69,98.6546050735
