,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,4932.0,5678.0,4968.0,5101.0,4859.0,4506.0,4951.0,5175.0,4842.0,4988.0,50000.0,50000.0
Valid:Num,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,10000.0
Train:SEED8628,99.3126520681,99.3554068334,98.4681964573,98.4179572633,98.9051245112,98.7749667111,99.0789739447,98.5758454106,97.7571251549,98.0493183641,98.6782,98.6695566719
Valid:SEED8628,99.2806814453,99.3324783427,98.4799077734,98.4271045274,98.8245616937,98.5923977502,99.0974758424,98.6372290919,97.6530924284,97.9215862086,98.411,98.3878116722
Train:All,99.3126520681,99.3554068334,98.4681964573,98.4179572633,98.9051245112,98.7749667111,99.0789739447,98.5758454106,97.7571251549,98.0493183641,98.6782,98.6695566719
Valid:All,99.2806814453,99.3324783427,98.4799077734,98.4271045274,98.8245616937,98.5923977502,99.0974758424,98.6372290919,97.6530924284,97.9215862086,98.411,98.3878116722
Train:0,10.0567721006,1.28566396619,2.03301127214,0.0392079984317,5.1245112163,0.443852640923,84.5485760452,0.0386473429952,0.144568360182,10.6255012029,11.332,11.4340312146
Train:500,97.9724249797,98.3444874956,88.6473429952,92.6681042933,96.2955340605,93.1424766977,95.4150676631,95.5555555556,84.8822800496,87.0689655172,93.09,92.9992239307
Train:1000,98.3576642336,98.3797111659,95.7125603865,94.1972162321,96.9952665157,96.9374167776,98.0206018986,97.1400966184,90.4791408509,91.8604651163,95.842,95.8080139796
Train:1500,98.2765612328,97.9570271222,96.578099839,96.5889041364,97.0158468821,97.4478473147,98.2629771763,96.8502415459,95.0433705081,93.865276664,96.8,96.7886152421
Train:2000,98.4184914842,98.6791123635,97.5644122383,97.4122721035,97.2833916444,97.9138925877,98.8083215512,97.1014492754,94.1553077241,95.3889334403,97.292,97.2725584412
Train:2500,98.7834549878,99.084184572,96.9404186795,96.3732601451,97.8390615353,98.2245894363,98.404362755,97.3140096618,95.7249070632,96.7321571772,97.556,97.5420406013
Train:3000,99.1281427413,98.6615005284,98.0072463768,97.275044109,98.5593743569,98.2467820684,98.6467380327,97.4879227053,95.931433292,96.3712910986,97.838,97.8315475309
Train:3500,98.9456609895,98.9256780557,98.2286634461,97.9023720839,98.0037044659,98.0026631158,98.9699050697,97.8550724638,96.819496076,97.4939855654,98.128,98.1147201332
Train:4000,98.6618004866,99.2603029236,97.6046698873,96.4320721427,98.3535706936,96.6711051931,99.0708947687,98.9178743961,98.0380008261,96.7321571772,98.002,97.9742448495
Train:4500,98.9659367397,98.6615005284,98.0072463768,97.7455400902,98.3535706936,98.2911673324,98.6871339123,98.2608695652,98.5336637753,97.2534081796,98.278,98.2760037193
Train:5000,99.2700729927,99.1017964072,98.4299516908,97.9023720839,98.8680798518,98.557478917,98.2831751161,98.5120772947,97.872779843,97.8949478749,98.476,98.4692732072
Train:5500,99.1686942417,99.4716449454,98.0877616747,97.6671240933,98.4976332579,98.9125610297,98.9093112503,98.5120772947,97.170590665,97.9550922213,98.446,98.4352490674
Train:6000,99.5336577453,99.4540331103,98.1280193237,97.6279160949,99.4443301091,98.4687083888,99.0103009493,98.4541062802,96.2412226353,96.2109061748,98.272,98.2573200812
Train:6500,99.4728304947,98.9432898908,98.4299516908,98.4708880612,98.9504013171,98.8015978695,98.7073318522,98.6473429952,98.1412639405,98.0352846832,98.662,98.6600182795
Train:7000,99.1686942417,99.084184572,98.4903381643,98.1572240737,98.4153117925,98.8681757656,99.151686528,98.7632850242,98.3064849236,97.9350441059,98.638,98.6340429191
Train:7500,99.3106244931,99.3307502642,98.4702093398,98.8629680455,98.8886602182,98.9125610297,99.0506968289,98.7439613527,97.2738537794,98.3360064154,98.728,98.7180291767
Train:8000,98.9456609895,99.1722437478,98.2286634461,98.9609880416,99.0533031488,97.8473146915,98.9497071299,98.2028985507,99.111937216,98.275862069,98.686,98.6748579031
Train:8500,99.1281427413,99.4011976048,98.4500805153,98.6081160557,99.1973657131,99.045716822,99.1718844678,98.8405797101,98.6782321355,97.9951884523,98.856,98.8516504218
Train:9000,99.5742092457,99.6125396266,98.4299516908,99.0786120369,99.3414282774,98.7350199734,99.3940618057,98.2608695652,95.8075175547,98.6166800321,98.702,98.6850889809
Train:9500,99.5133819951,99.4188094399,99.0942028986,98.1964320721,97.9831240996,98.8459831336,99.3536659261,98.5893719807,98.0793060719,98.9775461107,98.814,98.8051823728
Train:10000,99.3106244931,99.6653751321,98.8727858293,98.549304058,99.2796871784,99.3120284066,99.0910927085,98.7439613527,98.760842627,98.1555733761,98.978,98.9741275162
valid:0,10.7971745711,1.40977443609,1.71717171717,0.0,7.42624618515,0.218579234973,86.3495346432,0.0917431192661,0.0991080277502,10.5098855359,11.52,11.8619217471
valid:500,98.1836528759,98.7781954887,90.202020202,94.7572815534,97.3550356053,92.2404371585,97.1044467425,96.6972477064,84.8364717542,88.0332986472,93.89,93.8188087734
valid:1000,98.1836528759,98.6842105263,96.8686868687,95.7281553398,98.0671414039,96.2841530055,98.8624612203,97.7064220183,90.5847373637,92.924037461,96.41,96.3893658083
valid:1500,98.0827447023,98.5902255639,97.4747474747,97.0873786408,97.9654120041,96.393442623,99.1726990693,97.4311926606,95.4410307235,94.7970863684,97.26,97.243595983
valid:2000,98.385469223,98.6842105263,98.5858585859,97.7669902913,97.7619532045,96.9398907104,99.2761116856,97.1559633028,94.5490584737,96.04578564,97.52,97.5151291643
valid:2500,98.8900100908,98.8721804511,97.5757575758,96.6990291262,97.6602238047,96.7213114754,99.2761116856,97.7981651376,95.7383548067,96.878251821,97.62,97.6109395975
valid:3000,99.2936427851,98.6842105263,98.4848484848,98.1553398058,98.7792472024,96.9398907104,99.379524302,97.7064220183,95.5401387512,96.04578564,97.91,97.9009050226
valid:3500,99.1927346115,98.9661654135,98.7878787879,98.5436893204,97.9654120041,96.7213114754,99.2761116856,97.9816513761,96.5312190287,97.1904266389,98.13,98.1156600342
valid:4000,98.7891019173,99.0601503759,97.5757575758,97.4757281553,98.2706002035,95.8469945355,99.379524302,99.1743119266,97.3240832507,95.9417273673,97.92,97.883797961
valid:4500,99.2936427851,98.8721804511,98.2828282828,98.2524271845,98.1688708037,97.0491803279,99.1726990693,98.8990825688,98.3151635282,96.4620187305,98.3,98.2768093732
valid:5000,99.3945509586,99.2481203008,98.5858585859,98.5436893204,98.4740590031,97.1584699454,98.7590486039,99.0825688073,97.621407334,96.9823100937,98.41,98.3850082953
valid:5500,99.2936427851,99.3421052632,98.5858585859,98.1553398058,98.1688708037,97.2677595628,99.379524302,98.8990825688,96.5312190287,96.9823100937,98.28,98.26057128
valid:6000,99.3945509586,99.2481203008,98.5858585859,97.9611650485,98.8809766022,96.8306010929,99.1726990693,99.1743119266,96.1347869177,95.8376690947,98.15,98.1220739597
valid:6500,99.2936427851,99.0601503759,98.4848484848,98.5436893204,98.5757884028,97.1584699454,99.1726990693,99.1743119266,98.2160555005,97.1904266389,98.51,98.487008245
valid:7000,98.9909182644,98.8721804511,99.0909090909,98.4466019417,98.1688708037,97.2677595628,99.4829369183,99.4495412844,97.7205153617,96.878251821,98.46,98.43684855
valid:7500,99.1927346115,99.2481203008,98.7878787879,98.8349514563,98.4740590031,97.1584699454,99.4829369183,99.3577981651,96.6303270565,96.9823100937,98.44,98.4149586338
valid:8000,98.8900100908,99.1541353383,98.2828282828,98.7378640777,98.3723296033,96.7213114754,98.8624612203,98.8073394495,98.6124876115,97.2944849116,98.4,98.3735252061
valid:8500,99.0918264379,99.2481203008,98.3838383838,98.5436893204,98.982706002,97.2677595628,99.379524302,99.2660550459,98.017839445,96.9823100937,98.54,98.5163668894
valid:9000,99.3945509586,99.3421052632,98.2828282828,98.640776699,98.7792472024,97.0491803279,99.2761116856,98.4403669725,95.5401387512,97.2944849116,98.22,98.2039791055
valid:9500,99.0918264379,99.530075188,99.0909090909,98.3495145631,97.8636826043,97.0491803279,99.689762151,99.2660550459,97.4231912785,98.02289282,98.56,98.5377089507
valid:10000,98.9909182644,99.4360902256,98.9898989899,98.640776699,98.4740590031,97.4863387978,99.2761116856,99.3577981651,97.7205153617,96.878251821,98.55,98.5250759013
